Date,Price
2016-09-01,260.04
2016-09-02,266.48
2016-09-03,266.48
2016-09-04,266.48
2016-09-05,266.48
2016-09-06,270.3
2016-09-07,270.46
2016-09-08,274.13
2016-09-09,272.99
2016-09-10,272.99
2016-09-11,272.99
2016-09-12,260.83
2016-09-13,260.83
2016-09-14,262.65
2016-09-15,266.48
2016-09-16,272.05
2016-09-17,272.05
2016-09-18,272.05
2016-09-19,274.64
2016-09-20,271.97
2016-09-21,271.93
2016-09-22,274.93
2016-09-23,275.46
2016-09-24,275.46
2016-09-25,275.46
2016-09-26,270.86
2016-09-27,267.73
2016-09-28,267.72
2016-09-29,260.49
2016-09-30,252.84
2016-10-01,252.84
2016-10-02,252.84
2016-10-03,264.49
2016-10-04,266.74
2016-10-05,266.41
2016-10-06,265.21
2016-10-07,265.59
2016-10-08,265.59
2016-10-09,265.59
2016-10-10,264.96
2016-10-11,264.96
2016-10-12,264.96
2016-10-13,254.23
2016-10-14,253.95
2016-10-15,253.95
2016-10-16,253.95
2016-10-17,251.88
2016-10-18,260.49
2016-10-19,269.02
2016-10-20,280.65
2016-10-21,285.24
2016-10-22,285.24
2016-10-23,285.24
2016-10-24,290.02
2016-10-25,303.43
2016-10-26,307.21
2016-10-27,303.18
2016-10-28,306.7
2016-10-29,306.7
2016-10-30,306.22
2016-10-31,306.22
2016-11-01,305.21
2016-11-02,300.66
2016-11-03,294.07
2016-11-04,288.36
2016-11-05,288.36
2016-11-06,288.36
2016-11-07,292.85
2016-11-08,289.21
2016-11-09,275.1
2016-11-10,293.6
2016-11-11,281.2
2016-11-12,281.2
2016-11-13,281.2
2016-11-14,281.2
2016-11-15,266.5
2016-11-16,265.84
2016-11-17,265.15
2016-11-18,262.48
2016-11-19,262.48
2016-11-20,262.48
2016-11-21,253.5
2016-11-22,260.29
2016-11-23,261.96
2016-11-24,259.1
2016-11-25,262.91
2016-11-26,262.91
2016-11-27,262.91
2016-11-28,268.53
2016-11-29,275.49
2016-11-30,279.34
2016-12-01,275.18
2016-12-02,269.93
2016-12-03,269.93
2016-12-04,269.93
2016-12-05,268.42
2016-12-06,272.36
2016-12-07,277.06
2016-12-08,285.9
2016-12-09,287.32
2016-12-10,287.32
2016-12-11,287.32
2016-12-12,281.61
2016-12-13,284.02
2016-12-14,284.05
2016-12-15,287.39
2016-12-16,280.89
2016-12-17,280.89
2016-12-18,280.89
2016-12-19,276.56
2016-12-20,272.21
2016-12-21,273.34
2016-12-22,265.92
2016-12-23,263.08
2016-12-24,263.08
2016-12-25,263.08
2016-12-26,259.25
2016-12-27,264.7
2016-12-28,268.96
2016-12-29,264.43
2016-12-30,267.86
2016-12-31,267.86
2017-01-01,267.86
2017-01-02,270.73
2017-01-03,274.98
