Date,Price
2016-09-01,591.13
2016-09-02,585.99
2016-09-03,585.99
2016-09-04,585.99
2016-09-05,585.99
2016-09-06,595.94
2016-09-07,591.28
2016-09-08,587.27
2016-09-09,590.37
2016-09-10,590.37
2016-09-11,590.37
2016-09-12,570.74
2016-09-13,570.74
2016-09-14,573.53
2016-09-15,568.85
2016-09-16,577.32
2016-09-17,577.32
2016-09-18,577.32
2016-09-19,584.48
2016-09-20,586.12
2016-09-21,589.12
2016-09-22,597.31
2016-09-23,604.81
2016-09-24,604.81
2016-09-25,604.81
2016-09-26,614.66
2016-09-27,613.5
2016-09-28,615.59
2016-09-29,611.49
2016-09-30,613.31
2016-10-01,613.31
2016-10-02,613.31
2016-10-03,626.9
2016-10-04,635.48
2016-10-05,641.12
2016-10-06,673.44
2016-10-07,662.9
2016-10-08,662.9
2016-10-09,662.9
2016-10-10,657.7
2016-10-11,657.7
2016-10-12,657.7
2016-10-13,658.63
2016-10-14,666.26
2016-10-15,666.26
2016-10-16,666.26
2016-10-17,662.92
2016-10-18,654.49
2016-10-19,661.4
2016-10-20,659.94
2016-10-21,666.41
2016-10-22,666.41
2016-10-23,666.41
2016-10-24,681.03
2016-10-25,681.64
2016-10-26,677.44
2016-10-27,673.67
2016-10-28,670.85
2016-10-29,670.85
2016-10-30,670.7
2016-10-31,670.7
2016-11-01,675.19
2016-11-02,661.37
2016-11-03,651.65
2016-11-04,641.64
2016-11-05,641.64
2016-11-06,641.64
2016-11-07,661.13
2016-11-08,660.75
2016-11-09,650.22
2016-11-10,666.09
2016-11-11,650.28
2016-11-12,650.28
2016-11-13,650.28
2016-11-14,650.28
2016-11-15,640.65
2016-11-16,645.45
2016-11-17,634.34
2016-11-18,641.82
2016-11-19,641.82
2016-11-20,641.82
2016-11-21,639.29
2016-11-22,639.52
2016-11-23,631.85
2016-11-24,636.17
2016-11-25,641.76
2016-11-26,641.76
2016-11-27,641.76
2016-11-28,656.3
2016-11-29,646.34
2016-11-30,644.28
2016-12-01,627.45
2016-12-02,610.58
2016-12-03,610.58
2016-12-04,610.58
2016-12-05,604.54
2016-12-06,611.37
2016-12-07,626.96
2016-12-08,636.72
2016-12-09,632.86
2016-12-10,632.86
2016-12-11,632.86
2016-12-12,617.77
2016-12-13,623.48
2016-12-14,623.7
2016-12-15,617.56
2016-12-16,609.93
2016-12-17,609.93
2016-12-18,609.93
2016-12-19,615.52
2016-12-20,612.81
2016-12-21,609.83
2016-12-22,610.51
2016-12-23,612.5
2016-12-24,612.5
2016-12-25,612.5
2016-12-26,604.35
2016-12-27,611.03
2016-12-28,616.16
2016-12-29,633.02
2016-12-30,635.37
2016-12-31,635.37
2017-01-01,635.37
2017-01-02,640.89
2017-01-03,650.45
2017-01-04,652.72
2017-01-05,666.97
2017-01-06,669.12
2017-01-07,669.12
2017-01-08,669.12
2017-01-09,655.41
2017-01-10,666.92
2017-01-11,660.0
2017-01-12,661.1
2017-01-13,656.37
2017-01-14,656.37
2017-01-15,656.37
2017-01-16,663.71
2017-01-17,666.52
2017-01-18,656.36
2017-01-19,669.98
2017-01-20,668.52
2017-01-21,668.52
2017-01-22,668.52
2017-01-23,675.69
2017-01-24,681.93
2017-01-25,702.48
2017-01-26,702.48
2017-01-27,712.84
2017-01-28,712.84
2017-01-29,712.84
2017-01-30,702.18
2017-01-31,688.45
2017-02-01,687.43
2017-02-02,704.62
2017-02-03,695.95
2017-02-04,695.95
2017-02-05,695.95
2017-02-06,705.81
2017-02-07,716.47
2017-02-08,720.24
2017-02-09,725.11
2017-02-10,717.92
2017-02-11,717.92
2017-02-12,717.92
2017-02-13,713.47
2017-02-14,696.45
2017-02-15,681.51
2017-02-16,667.85
2017-02-17,678.23
2017-02-18,678.23
2017-02-19,678.23
2017-02-20,693.49
2017-02-21,708.79
2017-02-22,712.32
2017-02-23,715.96
2017-02-24,715.96
2017-02-25,715.96
2017-02-26,715.96
2017-02-27,711.54
2017-02-28,674.43
2017-03-01,659.78
2017-03-02,647.12
2017-03-03,626.54
2017-03-04,626.54
2017-03-05,626.54
2017-03-06,637.5
2017-03-07,645.41
2017-03-08,637.83
2017-03-09,635.76
2017-03-10,625.45
2017-03-11,625.45
2017-03-12,625.45
2017-03-13,625.45
2017-03-14,636.56
2017-03-15,638.11
2017-03-16,643.82
2017-03-17,641.74
2017-03-18,641.74
2017-03-19,641.74
2017-03-20,644.48
2017-03-21,641.85
2017-03-22,640.78
2017-03-23,654.68
2017-03-24,648.49
2017-03-25,648.49
2017-03-26,648.49
2017-03-27,644.21
2017-03-28,644.34
2017-03-29,644.74
2017-03-30,641.32
2017-03-31,651.46
2017-04-01,651.46
2017-04-02,651.46
2017-04-03,640.18
2017-04-04,640.18
2017-04-05,634.69
2017-04-06,641.05
2017-04-07,666.74
2017-04-08,666.74
2017-04-09,666.74
2017-04-10,697.07
2017-04-11,709.75
2017-04-12,712.1
2017-04-13,730.88
2017-04-14,730.88
2017-04-15,730.88
2017-04-16,730.88
2017-04-17,726.63
2017-04-18,729.43
2017-04-19,721.41
2017-04-20,722.6
2017-04-21,717.44
2017-04-22,717.44
2017-04-23,717.44
2017-04-24,712.82
2017-04-25,734.32
2017-04-26,733.21
2017-04-27,733.9
2017-04-28,721.69
2017-04-29,721.69
2017-04-30,721.69
2017-05-01,721.69
2017-05-02,736.55
2017-05-03,741.65
2017-05-04,727.1
2017-05-05,731.26
2017-05-06,731.26
2017-05-07,731.26
2017-05-08,717.01
2017-05-09,718.55
2017-05-10,726.88
2017-05-11,731.32
2017-05-12,730.75
2017-05-13,730.75
2017-05-14,730.75
2017-05-15,728.22
2017-05-16,729.34
2017-05-17,727.8
2017-05-18,717.16
2017-05-19,709.17
2017-05-20,709.17
2017-05-21,709.17
2017-05-22,691.93
2017-05-23,697.8
2017-05-24,701.99
2017-05-25,721.79
2017-05-26,727.91
