Date,Price
2016-09-01,1283.34
2016-09-02,1285.3
2016-09-03,1285.3
2016-09-04,1285.3
2016-09-05,1285.3
2016-09-06,1298.04
2016-09-07,1290.82
2016-09-08,1288.25
2016-09-09,1286.5
2016-09-10,1286.5
2016-09-11,1286.5
2016-09-12,1278.7
2016-09-13,1278.7
2016-09-14,1270.7
2016-09-15,1277.55
2016-09-16,1299.0
2016-09-17,1299.0
2016-09-18,1299.0
2016-09-19,1292.84
2016-09-20,1287.73
2016-09-21,1292.9
2016-09-22,1307.09
2016-09-23,1313.78
2016-09-24,1313.78
2016-09-25,1313.78
2016-09-26,1299.36
2016-09-27,1300.13
2016-09-28,1293.9
2016-09-29,1286.23
2016-09-30,1274.04
2016-10-01,1274.04
2016-10-02,1274.04
2016-10-03,1285.29
2016-10-04,1287.73
2016-10-05,1282.96
2016-10-06,1288.88
2016-10-07,1280.57
2016-10-08,1280.57
2016-10-09,1280.57
2016-10-10,1283.13
2016-10-11,1283.13
2016-10-12,1283.13
2016-10-13,1264.59
2016-10-14,1262.52
2016-10-15,1262.52
2016-10-16,1262.52
2016-10-17,1240.43
2016-10-18,1249.52
2016-10-19,1256.12
2016-10-20,1256.82
2016-10-21,1262.49
2016-10-22,1262.49
2016-10-23,1262.49
2016-10-24,1268.36
2016-10-25,1253.22
2016-10-26,1243.37
2016-10-27,1239.38
2016-10-28,1255.19
2016-10-29,1255.19
2016-10-30,1255.81
2016-10-31,1255.81
2016-11-01,1258.64
2016-11-02,1250.99
2016-11-03,1252.72
2016-11-04,1247.18
2016-11-05,1247.18
2016-11-06,1247.18
2016-11-07,1246.08
2016-11-08,1248.47
2016-11-09,1240.03
2016-11-10,1271.69
2016-11-11,1275.07
2016-11-12,1275.07
2016-11-13,1275.07
2016-11-14,1275.07
2016-11-15,1266.17
2016-11-16,1246.95
2016-11-17,1233.17
2016-11-18,1219.74
2016-11-19,1219.74
2016-11-20,1219.74
2016-11-21,1197.85
2016-11-22,1195.59
2016-11-23,1189.84
2016-11-24,1168.7
2016-11-25,1176.81
2016-11-26,1176.81
2016-11-27,1176.81
2016-11-28,1189.76
2016-11-29,1185.09
2016-11-30,1192.81
2016-12-01,1201.55
2016-12-02,1186.34
2016-12-03,1186.34
2016-12-04,1186.34
2016-12-05,1188.46
2016-12-06,1196.07
2016-12-07,1190.7
2016-12-08,1196.73
2016-12-09,1197.13
2016-12-10,1197.13
2016-12-11,1197.13
2016-12-12,1185.31
2016-12-13,1185.61
2016-12-14,1178.72
2016-12-15,1179.94
2016-12-16,1178.42
2016-12-17,1178.42
2016-12-18,1178.42
2016-12-19,1176.34
2016-12-20,1178.85
2016-12-21,1180.02
2016-12-22,1172.68
2016-12-23,1182.23
2016-12-24,1182.23
2016-12-25,1182.23
2016-12-26,1176.14
2016-12-27,1179.76
2016-12-28,1189.23
2016-12-29,1198.17
2016-12-30,1206.05
2016-12-31,1206.05
2017-01-01,1206.05
2017-01-02,1198.08
2017-01-03,1192.5
2017-01-04,1187.86
2017-01-05,1186.93
2017-01-06,1192.99
2017-01-07,1192.99
2017-01-08,1192.99
2017-01-09,1197.47
2017-01-10,1208.44
2017-01-11,1229.29
2017-01-12,1232.72
2017-01-13,1230.97
2017-01-14,1230.97
2017-01-15,1230.97
2017-01-16,1243.17
2017-01-17,1240.11
2017-01-18,1245.98
2017-01-19,1238.18
2017-01-20,1236.63
2017-01-21,1236.63
2017-01-22,1236.63
2017-01-23,1243.28
2017-01-24,1259.62
2017-01-25,1283.33
2017-01-26,1283.33
2017-01-27,1294.12
2017-01-28,1294.12
2017-01-29,1294.12
2017-01-30,1284.17
2017-01-31,1286.42
2017-02-01,1296.22
2017-02-02,1297.53
2017-02-03,1307.93
2017-02-04,1307.93
2017-02-05,1307.93
2017-02-06,1315.54
2017-02-07,1308.36
2017-02-08,1308.54
2017-02-09,1300.43
2017-02-10,1303.18
2017-02-11,1303.18
2017-02-12,1303.18
2017-02-13,1308.2
2017-02-14,1310.53
2017-02-15,1319.18
2017-02-16,1327.69
2017-02-17,1418.39
2017-02-18,1418.39
2017-02-19,1418.39
2017-02-20,1391.53
2017-02-21,1407.76
2017-02-22,1406.18
2017-02-23,1404.96
2017-02-24,1404.96
2017-02-25,1404.96
2017-02-26,1404.96
2017-02-27,1391.6
2017-02-28,1390.32
2017-03-01,1390.47
2017-03-02,1388.39
2017-03-03,1373.26
2017-03-04,1373.26
2017-03-05,1373.26
2017-03-06,1382.96
2017-03-07,1383.79
2017-03-08,1391.29
2017-03-09,1391.2
2017-03-10,1398.73
2017-03-11,1398.73
2017-03-12,1398.73
2017-03-13,1398.73
2017-03-14,1411.99
2017-03-15,1415.42
2017-03-16,1417.78
2017-03-17,1423.0
2017-03-18,1423.0
2017-03-19,1423.0
2017-03-20,1436.37
2017-03-21,1441.36
2017-03-22,1430.73
2017-03-23,1428.73
2017-03-24,1427.54
2017-03-25,1427.54
2017-03-26,1427.54
2017-03-27,1412.28
2017-03-28,1421.69
2017-03-29,1428.63
2017-03-30,1462.08
2017-03-31,1442.01
2017-04-01,1442.01
2017-04-02,1442.01
2017-04-03,1433.35
2017-04-04,1433.35
2017-04-05,1437.51
2017-04-06,1434.76
2017-04-07,1439.23
2017-04-08,1439.23
2017-04-09,1439.23
2017-04-10,1436.68
2017-04-11,1436.05
2017-04-12,1443.6
2017-04-13,1441.73
2017-04-14,1441.73
2017-04-15,1441.73
2017-04-16,1441.73
2017-04-17,1433.42
2017-04-18,1448.74
2017-04-19,1446.58
2017-04-20,1461.72
2017-04-21,1482.06
2017-04-22,1482.06
2017-04-23,1482.06
2017-04-24,1527.25
2017-04-25,1537.68
2017-04-26,1546.13
2017-04-27,1565.15
2017-04-28,1544.82
2017-04-29,1544.82
2017-04-30,1544.82
2017-05-01,1544.82
2017-05-02,1540.81
2017-05-03,1543.93
2017-05-04,1529.35
2017-05-05,1531.86
2017-05-06,1531.86
2017-05-07,1531.86
2017-05-08,1533.56
2017-05-09,1537.87
2017-05-10,1548.16
2017-05-11,1551.42
2017-05-12,1542.32
2017-05-13,1542.32
2017-05-14,1542.32
2017-05-15,1550.73
2017-05-16,1555.11
2017-05-17,1557.51
2017-05-18,1556.99
2017-05-19,1556.93
2017-05-20,1556.93
2017-05-21,1556.93
2017-05-22,1572.46
2017-05-23,1575.09
2017-05-24,1566.76
2017-05-25,1605.26
2017-05-26,1617.56
2017-05-27,1617.56
2017-05-28,1617.56
2017-05-29,1634.94
2017-05-30,1622.75
2017-05-31,1631.48
2017-06-01,1630.91
2017-06-02,1636.04
2017-06-03,1636.04
2017-06-04,1636.04
2017-06-05,1633.27
2017-06-06,1638.5
2017-06-07,1638.26
2017-06-08,1648.3
2017-06-09,1660.39
2017-06-10,1660.39
2017-06-11,1660.39
2017-06-12,1666.54
2017-06-13,1680.14
2017-06-14,1672.03
2017-06-15,1662.08
2017-06-16,1665.86
2017-06-17,1665.86
2017-06-18,1665.86
2017-06-19,1683.38
2017-06-20,1686.31
2017-06-21,1692.56
2017-06-22,1705.36
2017-06-23,1684.39
2017-06-24,1684.39
2017-06-25,1684.39
2017-06-26,1684.39
2017-06-27,1673.41
2017-06-28,1666.08
2017-06-29,1666.21
2017-06-30,1654.33
2017-07-01,1654.33
2017-07-02,1654.33
2017-07-03,1658.07
2017-07-04,1656.45
2017-07-05,1651.02
2017-07-06,1658.74
2017-07-07,1663.38
2017-07-08,1663.38
2017-07-09,1663.38
2017-07-10,1674.39
2017-07-11,1681.6
2017-07-12,1675.45
2017-07-13,1687.47
2017-07-14,1677.65
2017-07-15,1677.65
2017-07-16,1677.65
2017-07-17,1681.96
2017-07-18,1683.26
2017-07-19,1691.79
2017-07-20,1701.51
2017-07-21,1708.42
2017-07-22,1708.42
2017-07-23,1708.42
2017-07-24,1722.12
2017-07-25,1746.35
2017-07-26,1743.52
2017-07-27,1783.31
2017-07-28,1773.42
2017-07-29,1773.42
2017-07-30,1773.42
2017-07-31,1778.4
2017-08-01,1787.29
2017-08-02,1793.32
2017-08-03,1784.16
2017-08-04,1783.23
2017-08-05,1783.23
2017-08-06,1783.23
2017-08-07,1788.9
2017-08-08,1777.66
2017-08-09,1765.73
2017-08-10,1759.88
2017-08-11,1745.33
2017-08-12,1745.33
2017-08-13,1745.33
2017-08-14,1763.29
2017-08-15,1763.29
2017-08-16,1771.34
2017-08-17,1770.23
2017-08-18,1750.79
2017-08-19,1750.79
2017-08-20,1750.79
2017-08-21,1747.56
2017-08-22,1744.99
2017-08-23,1767.91
2017-08-24,1764.17
2017-08-25,1764.17
2017-08-26,1764.17
2017-08-27,1764.17
2017-08-28,1764.02
2017-08-29,1744.1
2017-08-30,1763.86
2017-08-31,1772.21
2017-09-01,1771.67
2017-09-02,1771.67
2017-09-03,1771.67
2017-09-04,1752.37
2017-09-05,1757.77
2017-09-06,1753.59
2017-09-07,1766.63
2017-09-08,1781.89
2017-09-09,1781.89
2017-09-10,1781.89
2017-09-11,1816.72
2017-09-12,1833.12
2017-09-13,1841.58
2017-09-14,1839.93
2017-09-15,1845.98
2017-09-16,1845.98
2017-09-17,1845.98
2017-09-18,1861.58
2017-09-19,1858.58
2017-09-20,1850.15
2017-09-21,1839.29
2017-09-22,1826.77
2017-09-23,1826.77
2017-09-24,1826.77
2017-09-25,1802.36
2017-09-26,1790.07
2017-09-27,1779.35
2017-09-28,1789.02
2017-09-29,1812.45
2017-09-30,1812.45
2017-10-01,1812.45
2017-10-02,1812.45
2017-10-03,1811.27
2017-10-04,1804.18
2017-10-05,1800.4
2017-10-06,1799.53
2017-10-07,1799.53
2017-10-08,1799.53
2017-10-09,1797.35
2017-10-10,1806.18
2017-10-11,1802.03
2017-10-12,1805.42
2017-10-13,1845.91
2017-10-14,1845.91
2017-10-15,1845.91
2017-10-16,1857.21
2017-10-17,1848.53
2017-10-18,1864.24
2017-10-19,1853.98
2017-10-20,1853.98
2017-10-21,1853.98
2017-10-22,1853.98
2017-10-23,1850.99
2017-10-24,1866.12
2017-10-25,1800.74
2017-10-26,1789.19
2017-10-27,1792.86
2017-10-28,1792.86
2017-10-29,1792.86
2017-10-30,1805.49
2017-10-31,1805.2
2017-11-01,1819.3
2017-11-02,1822.05
2017-11-03,1829.95
2017-11-04,1829.95
2017-11-05,1829.95
2017-11-06,1833.27
2017-11-07,1828.67
2017-11-08,1826.22
2017-11-09,1826.26
2017-11-10,1821.63
2017-11-11,1821.63
2017-11-12,1821.63
2017-11-13,1806.89
2017-11-14,1805.86
2017-11-15,1796.37
2017-11-16,1807.23
2017-11-17,1827.72
2017-11-18,1827.72
2017-11-19,1827.72
2017-11-20,1836.08
2017-11-21,1845.41
2017-11-22,1853.89
2017-11-23,1847.79
2017-11-24,1848.31
2017-11-25,1848.31
2017-11-26,1848.31
2017-11-27,1852.09
2017-11-28,1866.29
2017-11-29,1869.11
2017-11-30,1859.89
2017-12-01,1850.81
2017-12-02,1850.81
2017-12-03,1850.81
2017-12-04,1840.43
2017-12-05,1818.21
2017-12-06,1809.42
2017-12-07,1809.12
2017-12-08,1839.43
2017-12-09,1839.43
2017-12-10,1839.43
2017-12-11,1846.99
2017-12-12,1826.78
2017-12-13,1832.2
2017-12-14,1826.18
2017-12-15,1877.73
2017-12-16,1877.73
2017-12-17,1877.73
2017-12-18,1876.25
2017-12-19,1884.02
2017-12-20,1885.29
2017-12-21,1871.04
2017-12-22,1870.36
2017-12-23,1870.36
2017-12-24,1870.36
2017-12-25,1870.36
2017-12-26,1867.6
2017-12-27,1863.9
2017-12-28,1873.07
2017-12-29,1873.42
2017-12-30,1873.42
2017-12-31,1873.42
2018-01-01,1862.24
2018-01-02,1868.27
2018-01-03,1859.01
2018-01-04,1860.54
2018-01-05,1862.6
2018-01-06,1862.6
2018-01-07,1862.6
2018-01-08,1861.87
2018-01-09,1861.62
2018-01-10,1863.6
2018-01-11,1868.69
2018-01-12,1868.58
2018-01-13,1868.58
2018-01-14,1868.58
2018-01-15,1891.97
2018-01-16,1899.62
2018-01-17,1893.05
2018-01-18,1939.75
2018-01-19,1947.44
2018-01-20,1947.44
2018-01-21,1947.44
2018-01-22,1969.82
2018-01-23,1953.81
2018-01-24,1958.02
2018-01-25,1968.83
2018-01-26,1968.83
2018-01-27,1968.83
2018-01-28,1968.83
2018-01-29,1995.69
2018-01-30,1994.03
2018-01-31,2003.12
2018-02-01,2001.09
2018-02-02,1963.93
2018-02-03,1963.93
2018-02-04,1963.93
2018-02-05,1916.75
2018-02-06,1868.86
2018-02-07,1875.43
2018-02-08,1887.25
2018-02-09,1853.01
2018-02-10,1853.01
2018-02-11,1853.01
2018-02-12,1872.43
2018-02-13,1872.43
2018-02-14,1889.56
2018-02-15,1882.55
2018-02-16,1883.79
2018-02-17,1883.79
2018-02-18,1883.79
2018-02-19,1876.45
2018-02-20,1875.4
2018-02-21,1858.84
2018-02-22,1851.2
2018-02-23,1869.03
2018-02-24,1869.03
2018-02-25,1869.03
2018-02-26,1904.1
2018-02-27,1908.74
2018-02-28,1883.79
2018-03-01,1884.58
2018-03-02,1884.58
2018-03-03,1884.58
2018-03-04,1884.58
2018-03-05,1867.66
2018-03-06,1864.57
2018-03-07,1839.17
2018-03-08,1844.42
2018-03-09,1856.06
2018-03-10,1856.06
2018-03-11,1856.06
2018-03-12,1863.99
2018-03-13,1870.24
2018-03-14,1857.75
2018-03-15,1879.2
2018-03-16,1861.09
2018-03-17,1861.09
2018-03-18,1861.09
2018-03-19,1851.78
2018-03-20,1845.17
2018-03-21,1853.89
2018-03-22,1872.05
2018-03-23,1844.22
2018-03-24,1844.22
2018-03-25,1844.22
2018-03-26,1868.66
2018-03-27,1888.52
2018-03-28,1886.44
2018-03-29,1886.44
2018-03-30,1886.44
2018-03-31,1886.44
2018-04-01,1886.44
2018-04-02,1917.34
2018-04-03,1917.02
2018-04-04,1903.29
2018-04-05,1900.56
2018-04-06,1917.27
2018-04-07,1917.27
2018-04-08,1917.27
2018-04-09,1936.3
2018-04-10,1920.94
2018-04-11,1913.82
2018-04-12,1920.27
2018-04-13,1928.02
2018-04-14,1928.02
2018-04-15,1928.02
2018-04-16,1938.89
2018-04-17,1944.42
2018-04-18,1942.91
2018-04-19,1938.07
2018-04-20,1945.78
2018-04-21,1945.78
2018-04-22,1945.78
2018-04-23,1947.51
2018-04-24,1935.57
2018-04-25,1924.27
2018-04-26,1930.42
2018-04-27,1918.5
2018-04-28,1918.5
