Date,Price
2016-09-01,253.1
2016-09-02,253.69
2016-09-03,253.69
2016-09-04,253.69
2016-09-05,253.69
2016-09-06,258.83
2016-09-07,266.14
2016-09-08,269.03
2016-09-09,265.2
2016-09-10,265.2
2016-09-11,265.2
2016-09-12,254.85
2016-09-13,254.85
2016-09-14,256.1
2016-09-15,255.84
2016-09-16,257.69
2016-09-17,257.69
2016-09-18,257.69
2016-09-19,256.3
2016-09-20,254.84
2016-09-21,253.32
2016-09-22,256.74
2016-09-23,256.61
2016-09-24,256.61
2016-09-25,256.61
2016-09-26,252.38
2016-09-27,250.72
2016-09-28,253.17
2016-09-29,249.18
2016-09-30,249.88
2016-10-01,249.88
2016-10-02,249.88
2016-10-03,255.23
2016-10-04,257.53
2016-10-05,262.58
2016-10-06,259.03
2016-10-07,257.4
2016-10-08,257.4
2016-10-09,257.4
2016-10-10,257.85
2016-10-11,257.85
2016-10-12,257.85
2016-10-13,250.18
2016-10-14,251.98
2016-10-15,251.98
2016-10-16,251.98
2016-10-17,254.06
2016-10-18,255.36
2016-10-19,255.84
2016-10-20,259.24
2016-10-21,257.63
2016-10-22,257.63
2016-10-23,257.63
2016-10-24,263.27
2016-10-25,262.07
2016-10-26,260.6
2016-10-27,255.63
2016-10-28,257.09
2016-10-29,257.09
2016-10-30,258.16
2016-10-31,258.16
2016-11-01,259.08
2016-11-02,252.01
2016-11-03,248.28
2016-11-04,243.39
2016-11-05,243.39
2016-11-06,243.39
2016-11-07,250.37
2016-11-08,251.37
2016-11-09,251.04
2016-11-10,277.76
2016-11-11,277.84
2016-11-12,277.84
2016-11-13,277.84
2016-11-14,277.84
2016-11-15,277.97
2016-11-16,278.73
2016-11-17,279.38
2016-11-18,277.0
2016-11-19,277.0
2016-11-20,277.0
2016-11-21,264.47
2016-11-22,256.19
2016-11-23,257.72
2016-11-24,260.61
2016-11-25,261.08
2016-11-26,261.08
2016-11-27,261.08
2016-11-28,254.63
2016-11-29,254.52
2016-11-30,256.7
2016-12-01,257.1
2016-12-02,255.89
2016-12-03,255.89
2016-12-04,255.89
2016-12-05,255.82
2016-12-06,258.64
2016-12-07,258.19
2016-12-08,259.38
2016-12-09,264.21
2016-12-10,264.21
2016-12-11,264.21
2016-12-12,266.17
2016-12-13,264.38
2016-12-14,263.86
2016-12-15,264.98
2016-12-16,264.65
2016-12-17,264.65
2016-12-18,264.65
2016-12-19,262.48
2016-12-20,256.17
2016-12-21,256.1
