Date,Price
2016-09-01,543.67
2016-09-02,551.77
2016-09-03,551.77
2016-09-04,551.77
2016-09-05,551.77
2016-09-06,575.29
2016-09-07,590.25
2016-09-08,582.41
2016-09-09,574.57
2016-09-10,574.57
2016-09-11,574.57
2016-09-12,554.33
2016-09-13,554.33
2016-09-14,550.47
2016-09-15,559.53
2016-09-16,552.68
2016-09-17,552.68
2016-09-18,552.68
2016-09-19,552.69
2016-09-20,549.23
2016-09-21,551.51
2016-09-22,557.3
2016-09-23,553.96
2016-09-24,553.96
2016-09-25,553.96
2016-09-26,539.32
2016-09-27,536.02
2016-09-28,539.86
2016-09-29,530.66
2016-09-30,529.78
2016-10-01,529.78
2016-10-02,529.78
2016-10-03,542.36
2016-10-04,546.15
2016-10-05,556.65
2016-10-06,556.37
2016-10-07,560.48
2016-10-08,560.48
2016-10-09,560.48
2016-10-10,564.9
2016-10-11,564.9
2016-10-12,564.9
2016-10-13,545.3
2016-10-14,551.37
2016-10-15,551.37
2016-10-16,551.37
2016-10-17,550.83
2016-10-18,553.27
2016-10-19,549.78
2016-10-20,549.11
2016-10-21,544.39
2016-10-22,544.39
2016-10-23,544.39
2016-10-24,556.12
2016-10-25,555.04
2016-10-26,536.04
2016-10-27,518.75
2016-10-28,535.13
2016-10-29,535.13
2016-10-30,533.06
2016-10-31,533.06
2016-11-01,529.93
2016-11-02,517.68
2016-11-03,513.7
2016-11-04,509.76
2016-11-05,509.76
2016-11-06,509.76
2016-11-07,512.33
2016-11-08,533.72
2016-11-09,527.23
2016-11-10,540.38
2016-11-11,515.15
2016-11-12,515.15
2016-11-13,515.15
2016-11-14,515.15
2016-11-15,467.85
2016-11-16,462.65
2016-11-17,470.43
2016-11-18,468.48
2016-11-19,468.48
2016-11-20,468.48
2016-11-21,459.43
2016-11-22,461.8
2016-11-23,469.18
2016-11-24,455.42
2016-11-25,450.34
2016-11-26,450.34
2016-11-27,450.34
2016-11-28,456.15
2016-11-29,461.03
2016-11-30,459.72
2016-12-01,451.27
2016-12-02,438.92
2016-12-03,438.92
2016-12-04,438.92
2016-12-05,436.65
2016-12-06,442.24
2016-12-07,445.34
2016-12-08,460.64
2016-12-09,464.77
2016-12-10,464.77
2016-12-11,464.77
2016-12-12,454.81
2016-12-13,482.26
2016-12-14,471.95
2016-12-15,466.84
2016-12-16,472.07
2016-12-17,472.07
2016-12-18,472.07
2016-12-19,472.79
2016-12-20,472.55
2016-12-21,469.5
2016-12-22,469.0
2016-12-23,464.33
2016-12-24,464.33
2016-12-25,464.33
2016-12-26,458.66
2016-12-27,461.85
2016-12-28,463.97
2016-12-29,466.15
2016-12-30,471.08
2016-12-31,471.08
2017-01-01,471.08
2017-01-02,479.72
2017-01-03,486.65
2017-01-04,489.31
2017-01-05,500.55
2017-01-06,501.97
2017-01-07,501.97
2017-01-08,501.97
2017-01-09,500.22
2017-01-10,512.98
2017-01-11,519.85
2017-01-12,518.43
2017-01-13,512.45
2017-01-14,512.45
2017-01-15,512.45
2017-01-16,524.43
2017-01-17,526.18
2017-01-18,524.36
2017-01-19,531.81
2017-01-20,524.93
2017-01-21,524.93
2017-01-22,524.93
2017-01-23,530.73
2017-01-24,540.22
2017-01-25,545.77
2017-01-26,545.77
2017-01-27,544.76
2017-01-28,544.76
2017-01-29,544.76
2017-01-30,535.12
2017-01-31,525.35
2017-02-01,534.94
2017-02-02,530.9
2017-02-03,524.4
2017-02-04,524.4
2017-02-05,524.4
2017-02-06,527.59
2017-02-07,511.91
2017-02-08,512.6
2017-02-09,512.31
2017-02-10,509.89
2017-02-11,509.89
2017-02-12,509.89
2017-02-13,506.15
2017-02-14,490.98
2017-02-15,444.72
2017-02-16,442.98
2017-02-17,450.88
2017-02-18,450.88
2017-02-19,450.88
2017-02-20,454.15
2017-02-21,459.15
2017-02-22,462.25
2017-02-23,461.6
2017-02-24,461.6
2017-02-25,461.6
2017-02-26,461.6
2017-02-27,458.04
2017-02-28,456.32
2017-03-01,450.86
2017-03-02,463.03
2017-03-03,461.43
2017-03-04,461.43
2017-03-05,461.43
2017-03-06,467.79
2017-03-07,470.44
2017-03-08,463.11
2017-03-09,466.96
2017-03-10,468.76
2017-03-11,468.76
2017-03-12,468.76
2017-03-13,468.76
2017-03-14,472.78
2017-03-15,473.58
2017-03-16,479.2
2017-03-17,477.24
2017-03-18,477.24
2017-03-19,477.24
2017-03-20,474.26
2017-03-21,473.13
2017-03-22,463.77
2017-03-23,470.24
2017-03-24,471.19
2017-03-25,471.19
2017-03-26,471.19
2017-03-27,464.91
2017-03-28,471.33
2017-03-29,470.33
2017-03-30,467.74
2017-03-31,468.06
2017-04-01,468.06
2017-04-02,468.06
2017-04-03,469.82
2017-04-04,469.82
2017-04-05,472.43
2017-04-06,474.22
2017-04-07,473.0
2017-04-08,473.0
2017-04-09,473.0
2017-04-10,473.65
2017-04-11,474.69
2017-04-12,466.52
2017-04-13,456.29
2017-04-14,456.29
2017-04-15,456.29
2017-04-16,456.29
2017-04-17,450.98
2017-04-18,450.13
2017-04-19,443.13
2017-04-20,444.64
2017-04-21,442.22
2017-04-22,442.22
2017-04-23,442.22
2017-04-24,444.61
2017-04-25,445.89
2017-04-26,451.05
2017-04-27,457.48
2017-04-28,458.61
2017-04-29,458.61
2017-04-30,458.61
2017-05-01,458.61
2017-05-02,451.43
2017-05-03,451.24
2017-05-04,439.55
2017-05-05,423.45
2017-05-06,423.45
2017-05-07,423.45
2017-05-08,424.02
2017-05-09,426.54
2017-05-10,430.59
2017-05-11,429.33
2017-05-12,430.55
2017-05-13,430.55
2017-05-14,430.55
2017-05-15,431.81
2017-05-16,437.4
2017-05-17,445.54
2017-05-18,441.86
2017-05-19,440.79
2017-05-20,440.79
2017-05-21,440.79
2017-05-22,449.34
2017-05-23,450.61
2017-05-24,467.4
2017-05-25,474.63
2017-05-26,482.95
2017-05-27,482.95
2017-05-28,482.95
2017-05-29,478.34
2017-05-30,484.28
2017-05-31,478.07
2017-06-01,476.6
2017-06-02,481.96
2017-06-03,481.96
2017-06-04,481.96
2017-06-05,478.48
2017-06-06,467.17
2017-06-07,457.44
2017-06-08,460.77
2017-06-09,462.8
2017-06-10,462.8
2017-06-11,462.8
2017-06-12,460.15
2017-06-13,452.55
2017-06-14,451.35
2017-06-15,451.79
2017-06-16,455.3
2017-06-17,455.3
2017-06-18,455.3
2017-06-19,452.93
2017-06-20,465.76
2017-06-21,459.41
2017-06-22,458.4
2017-06-23,446.88
2017-06-24,446.88
2017-06-25,446.88
2017-06-26,446.88
2017-06-27,438.67
2017-06-28,443.23
2017-06-29,439.73
2017-06-30,431.4
2017-07-01,431.4
2017-07-02,431.4
2017-07-03,430.76
2017-07-04,430.37
2017-07-05,431.11
2017-07-06,436.84
2017-07-07,437.38
2017-07-08,437.38
2017-07-09,437.38
2017-07-10,446.62
2017-07-11,458.02
2017-07-12,460.56
2017-07-13,459.41
2017-07-14,453.91
2017-07-15,453.91
2017-07-16,453.91
2017-07-17,455.36
2017-07-18,456.78
2017-07-19,459.33
2017-07-20,460.04
2017-07-21,462.37
2017-07-22,462.37
2017-07-23,462.37
2017-07-24,464.66
2017-07-25,457.41
2017-07-26,457.1
2017-07-27,449.23
2017-07-28,444.95
2017-07-29,444.95
2017-07-30,444.95
2017-07-31,446.31
2017-08-01,448.38
2017-08-02,442.65
2017-08-03,433.4
2017-08-04,435.61
2017-08-05,435.61
2017-08-06,435.61
2017-08-07,431.16
2017-08-08,430.83
2017-08-09,421.05
2017-08-10,387.82
2017-08-11,371.61
2017-08-12,371.61
2017-08-13,371.61
2017-08-14,376.03
2017-08-15,376.03
2017-08-16,383.97
2017-08-17,388.08
2017-08-18,379.77
2017-08-19,379.77
2017-08-20,379.77
2017-08-21,376.4
2017-08-22,375.36
2017-08-23,378.33
2017-08-24,383.93
2017-08-25,383.93
2017-08-26,383.93
2017-08-27,383.93
2017-08-28,380.87
2017-08-29,377.94
2017-08-30,379.91
2017-08-31,377.34
2017-09-01,385.29
2017-09-02,385.29
2017-09-03,385.29
2017-09-04,386.93
2017-09-05,386.12
2017-09-06,383.91
2017-09-07,378.6
2017-09-08,377.03
2017-09-09,377.03
2017-09-10,377.03
2017-09-11,376.77
2017-09-12,382.86
2017-09-13,390.91
2017-09-14,399.18
2017-09-15,402.68
2017-09-16,402.68
2017-09-17,402.68
2017-09-18,407.19
2017-09-19,421.93
2017-09-20,416.02
2017-09-21,413.49
2017-09-22,415.83
2017-09-23,415.83
2017-09-24,415.83
2017-09-25,408.77
2017-09-26,410.01
2017-09-27,406.82
2017-09-28,402.23
2017-09-29,401.02
2017-09-30,401.02
2017-10-01,401.02
2017-10-02,401.02
2017-10-03,419.25
2017-10-04,419.51
2017-10-05,422.95
2017-10-06,423.2
2017-10-07,423.2
2017-10-08,423.2
2017-10-09,427.35
2017-10-10,424.86
2017-10-11,419.53
2017-10-12,415.75
2017-10-13,425.8
2017-10-14,425.8
2017-10-15,425.8
2017-10-16,433.4
2017-10-17,432.43
2017-10-18,432.3
2017-10-19,428.85
2017-10-20,428.85
2017-10-21,428.85
2017-10-22,428.85
2017-10-23,424.61
2017-10-24,417.53
2017-10-25,421.04
2017-10-26,419.4
2017-10-27,428.87
2017-10-28,428.87
2017-10-29,428.87
2017-10-30,437.27
2017-10-31,430.37
2017-11-01,436.09
2017-11-02,433.95
2017-11-03,442.06
2017-11-04,442.06
2017-11-05,442.06
2017-11-06,457.93
2017-11-07,457.37
2017-11-08,443.57
2017-11-09,441.67
2017-11-10,426.07
2017-11-11,426.07
2017-11-12,426.07
2017-11-13,422.06
2017-11-14,416.06
2017-11-15,411.75
2017-11-16,413.82
2017-11-17,420.22
2017-11-18,420.22
2017-11-19,420.22
2017-11-20,422.71
2017-11-21,425.97
2017-11-22,429.12
2017-11-23,427.13
2017-11-24,426.88
2017-11-25,426.88
2017-11-26,426.88
2017-11-27,421.35
2017-11-28,418.52
2017-11-29,416.59
2017-11-30,406.29
2017-12-01,404.69
2017-12-02,404.69
2017-12-03,404.69
2017-12-04,406.2
2017-12-05,400.26
2017-12-06,398.34
2017-12-07,401.72
2017-12-08,410.36
2017-12-09,410.36
2017-12-10,410.36
2017-12-11,411.64
2017-12-12,410.29
2017-12-13,405.31
2017-12-14,401.19
2017-12-15,405.91
2017-12-16,405.91
2017-12-17,405.91
2017-12-18,404.05
2017-12-19,415.14
2017-12-20,424.43
2017-12-21,422.01
2017-12-22,423.68
2017-12-23,423.68
2017-12-24,423.68
2017-12-25,423.68
2017-12-26,423.33
2017-12-27,425.01
2017-12-28,419.81
2017-12-29,427.34
2017-12-30,427.34
2017-12-31,427.34
2018-01-01,430.49
2018-01-02,433.41
2018-01-03,435.06
2018-01-04,429.56
2018-01-05,432.92
2018-01-06,432.92
2018-01-07,432.92
2018-01-08,433.92
2018-01-09,438.96
2018-01-10,434.76
2018-01-11,435.64
2018-01-12,437.06
2018-01-13,437.06
2018-01-14,437.06
2018-01-15,435.46
2018-01-16,424.97
2018-01-17,417.36
2018-01-18,421.97
2018-01-19,417.77
2018-01-20,417.77
2018-01-21,417.77
2018-01-22,421.87
2018-01-23,418.29
2018-01-24,407.63
2018-01-25,401.91
2018-01-26,401.91
2018-01-27,401.91
2018-01-28,401.91
2018-01-29,402.45
2018-01-30,398.6
2018-01-31,398.56
2018-02-01,398.23
2018-02-02,388.53
2018-02-03,388.53
2018-02-04,388.53
2018-02-05,392.17
2018-02-06,371.36
2018-02-07,380.7
2018-02-08,375.93
2018-02-09,370.1
2018-02-10,370.1
2018-02-11,370.1
2018-02-12,372.75
2018-02-13,372.75
2018-02-14,376.19
2018-02-15,379.06
