,SBIN,TATAMOTORS,BPCL,ADANIPORTS,HDFCBANK
2022-04-30,503.72299,442.18236,365.54128,869.85039,1390.70307
2022-05-01,503.856,442.13472,365.44257,870.13089,1390.87621
2022-05-02,503.98902,442.08708,365.34387,870.41151,1391.04942
2022-05-03,504.12206,442.03945,365.24518,870.69226,1391.2227
2022-05-04,504.25512,441.99182,365.14649,870.97312,1391.39605
2022-05-05,504.38819,441.94419,365.04782,871.2541,1391.56947
2022-05-06,504.52128,441.89656,364.94916,871.53519,1391.74297
2022-05-07,504.65439,441.84894,364.85051,871.81641,1391.91653
2022-05-08,504.78751,441.80132,364.75186,872.09774,1392.09017
2022-05-09,504.92065,441.7537,364.65323,872.37919,1392.26388
2022-05-10,505.05381,441.70608,364.5546,872.66076,1392.43765
2022-05-11,505.18698,441.65847,364.45599,872.94244,1392.6115
2022-05-12,505.32017,441.61086,364.35739,873.22424,1392.78542
2022-05-13,505.45338,441.56325,364.25879,873.50616,1392.95941
2022-05-14,505.5866,441.51565,364.1602,873.7882,1393.13347
2022-05-15,505.71984,441.46804,364.06163,874.07035,1393.30761
2022-05-16,505.8531,441.42044,363.96306,874.35262,1393.48181
2022-05-17,505.98637,441.37284,363.86451,874.63501,1393.65608
2022-05-18,506.11966,441.32525,363.76596,874.91751,1393.83043
2022-05-19,506.25297,441.27766,363.66742,875.20013,1394.00484
2022-05-20,506.38629,441.23007,363.56889,875.48287,1394.17933
2022-05-21,506.51963,441.18248,363.47038,875.76572,1394.35388
2022-05-22,506.65299,441.13489,363.37187,876.04868,1394.52851
2022-05-23,506.78636,441.08731,363.27337,876.33177,1394.70321
2022-05-24,506.91975,441.03973,363.17488,876.61497,1394.87798
2022-05-25,507.05315,440.99215,363.0764,876.89828,1395.05282
2022-05-26,507.18657,440.94458,362.97793,877.18171,1395.22773
2022-05-27,507.32001,440.89701,362.87947,877.46525,1395.4027
2022-05-28,507.45347,440.84944,362.78102,877.74891,1395.57776
2022-05-29,507.58694,440.80187,362.68258,878.03269,1395.75288
2022-05-30,507.72042,440.7543,362.58414,878.31658,1395.92807
2022-05-31,507.85393,440.70674,362.48572,878.60058,1396.10333
2022-06-01,507.98745,440.65918,362.38731,878.8847,1396.27866
2022-06-02,508.12099,440.61163,362.28891,879.16893,1396.45406
2022-06-03,508.25454,440.56407,362.19051,879.45328,1396.62954
2022-06-04,508.38811,440.51652,362.09213,879.73774,1396.80508
2022-06-05,508.5217,440.46897,361.99376,880.02231,1396.98069
2022-06-06,508.6553,440.42142,361.89539,880.307,1397.15637
2022-06-07,508.78892,440.37388,361.79704,880.5918,1397.33213
2022-06-08,508.92255,440.32634,361.69869,880.87672,1397.50795
2022-06-09,509.05621,440.2788,361.60036,881.16175,1397.68385
2022-06-10,509.18987,440.23126,361.50203,881.44689,1397.85981
2022-06-11,509.32356,440.18373,361.40371,881.73215,1398.03584
2022-06-12,509.45726,440.1362,361.30541,882.01752,1398.21195
2022-06-13,509.59098,440.08867,361.20711,882.303,1398.38812
2022-06-14,509.72471,440.04114,361.10882,882.58859,1398.56437
2022-06-15,509.85846,439.99362,361.01054,882.8743,1398.74068
2022-06-16,509.99223,439.9461,360.91228,883.16012,1398.91707
2022-06-17,510.12601,439.89858,360.81402,883.44605,1399.09352
2022-06-18,510.25981,439.85107,360.71577,883.73209,1399.27005
2022-06-19,510.39363,439.80355,360.61753,884.01825,1399.44664
2022-06-20,510.52746,439.75604,360.5193,884.30452,1399.62331
2022-06-21,510.66131,439.70853,360.42108,884.5909,1399.80004
2022-06-22,510.79517,439.66103,360.32287,884.87739,1399.97684
2022-06-23,510.92906,439.61352,360.22466,885.16399,1400.15372
2022-06-24,511.06295,439.56602,360.12647,885.4507,1400.33066
2022-06-25,511.19687,439.51853,360.02829,885.73753,1400.50768
2022-06-26,511.3308,439.47103,359.93012,886.02447,1400.68476
2022-06-27,511.46475,439.42354,359.83195,886.31151,1400.86191
2022-06-28,511.59871,439.37605,359.7338,886.59867,1401.03914
2022-06-29,511.73269,439.32856,359.63566,886.88594,1401.21643
2022-06-30,511.86668,439.28108,359.53752,887.17332,1401.39379
2022-07-01,512.00069,439.23359,359.4394,887.46081,1401.57122
2022-07-02,512.13472,439.18611,359.34128,887.74841,1401.74873
2022-07-03,512.26877,439.13864,359.24318,888.03612,1401.9263
2022-07-04,512.40283,439.09116,359.14508,888.32394,1402.10394
2022-07-05,512.53691,439.04369,359.04699,888.61187,1402.28165
2022-07-06,512.671,438.99622,358.94892,888.89991,1402.45943
2022-07-07,512.80511,438.94875,358.85085,889.18806,1402.63728
2022-07-08,512.93923,438.90129,358.75279,889.47632,1402.8152
2022-07-09,513.07338,438.85382,358.65474,889.76469,1402.99319
2022-07-10,513.20753,438.80637,358.5567,890.05317,1403.17124
2022-07-11,513.34171,438.75891,358.45867,890.34176,1403.34937
2022-07-12,513.4759,438.71145,358.36065,890.63045,1403.52757
2022-07-13,513.61011,438.664,358.26264,890.91926,1403.70583
2022-07-14,513.74433,438.61655,358.16464,891.20817,1403.88417
2022-07-15,513.87857,438.56911,358.06665,891.4972,1404.06257
2022-07-16,514.01283,438.52166,357.96867,891.78633,1404.24105
2022-07-17,514.1471,438.47422,357.8707,892.07557,1404.41959
2022-07-18,514.28139,438.42678,357.77274,892.36492,1404.5982
2022-07-19,514.41569,438.37935,357.67478,892.65437,1404.77689
2022-07-20,514.55001,438.33191,357.57684,892.94394,1404.95564
2022-07-21,514.68435,438.28448,357.47891,893.23361,1405.13446
2022-07-22,514.8187,438.23705,357.38098,893.52339,1405.31335
2022-07-23,514.95307,438.18962,357.28307,893.81328,1405.4923
2022-07-24,515.08745,438.1422,357.18516,894.10327,1405.67133
2022-07-25,515.22185,438.09478,357.08727,894.39337,1405.85043
2022-07-26,515.35627,438.04736,356.98938,894.68358,1406.02959
2022-07-27,515.49071,437.99995,356.8915,894.9739,1406.20883
2022-07-28,515.62516,437.95253,356.79364,895.26432,1406.38813
2022-07-29,515.75962,437.90512,356.69578,895.55485,1406.56751
2022-07-30,515.8941,437.85771,356.59793,895.84549,1406.74695
2022-07-31,516.0286,437.81031,356.50009,896.13624,1406.92646
2022-08-01,516.16312,437.7629,356.40226,896.42709,1407.10604
2022-08-02,516.29765,437.7155,356.30444,896.71804,1407.28569
2022-08-03,516.43219,437.66811,356.20663,897.00911,1407.4654
2022-08-04,516.56675,437.62071,356.10883,897.30027,1407.64519
2022-08-05,516.70133,437.57332,356.01104,897.59155,1407.82505
2022-08-06,516.83593,437.52593,355.91326,897.88293,1408.00497
2022-08-07,516.97054,437.47854,355.81549,898.17442,1408.18496
2022-08-08,517.10517,437.43115,355.71773,898.46601,1408.36502
2022-08-09,517.23981,437.38377,355.61997,898.7577,1408.54515
2022-08-10,517.37447,437.33639,355.52223,899.04951,1408.72535
2022-08-11,517.50914,437.28901,355.42449,899.34142,1408.90562
2022-08-12,517.64383,437.24164,355.32677,899.63343,1409.08596
2022-08-13,517.77854,437.19426,355.22906,899.92555,1409.26636
2022-08-14,517.91326,437.14689,355.13135,900.21777,1409.44683
2022-08-15,518.048,437.09953,355.03365,900.5101,1409.62738
2022-08-16,518.18276,437.05216,354.93597,900.80253,1409.80799
2022-08-17,518.31753,437.0048,354.83829,901.09507,1409.98867
2022-08-18,518.45232,436.95744,354.74062,901.38771,1410.16941
2022-08-19,518.58712,436.91008,354.64297,901.68045,1410.35023
2022-08-20,518.72194,436.86273,354.54532,901.9733,1410.53111
2022-08-21,518.85678,436.81538,354.44768,902.26625,1410.71207
2022-08-22,518.99163,436.76803,354.35005,902.55931,1410.89309
2022-08-23,519.12649,436.72068,354.25243,902.85247,1411.07418
2022-08-24,519.26138,436.67333,354.15482,903.14573,1411.25534
2022-08-25,519.39628,436.62599,354.05722,903.4391,1411.43656
2022-08-26,519.53119,436.57865,353.95963,903.73257,1411.61786
2022-08-27,519.66612,436.53132,353.86204,904.02615,1411.79922
2022-08-28,519.80107,436.48398,353.76447,904.31982,1411.98065
2022-08-29,519.93603,436.43665,353.66691,904.61361,1412.16215
2022-08-30,520.07101,436.38932,353.56935,904.90749,1412.34372
2022-08-31,520.20601,436.34199,353.47181,905.20147,1412.52536
2022-09-01,520.34102,436.29467,353.37427,905.49556,1412.70706
2022-09-02,520.47605,436.24735,353.27675,905.78975,1412.88884
2022-09-03,520.61109,436.20003,353.17923,906.08405,1413.07068
2022-09-04,520.74615,436.15271,353.08173,906.37844,1413.25259
2022-09-05,520.88122,436.1054,352.98423,906.67294,1413.43456
2022-09-06,521.01631,436.05809,352.88674,906.96754,1413.61661
2022-09-07,521.15142,436.01078,352.78927,907.26224,1413.79872
2022-09-08,521.28654,435.96347,352.6918,907.55704,1413.9809
2022-09-09,521.42168,435.91617,352.59434,907.85195,1414.16315
2022-09-10,521.55683,435.86887,352.49689,908.14696,1414.34547
2022-09-11,521.692,435.82157,352.39945,908.44206,1414.52785
2022-09-12,521.82719,435.77427,352.30202,908.73727,1414.71031
